APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Akole,bajri,Akole:bajri,2014-09-01,1650.0,3,1653.6481208217635
Akole,bajri,Akole:bajri,2014-10-01,1560.0,4,1562.586353423999
Akole,bajri,Akole:bajri,2014-11-01,1550.0,4,1552.5697742353836
Akole,bajri,Akole:bajri,2014-12-01,1563.0,4,1565.5913271805837
Akole,bajri,Akole:bajri,2015-01-01,1580.0,1,1583.6826852099286
Akole,bajri,Akole:bajri,2015-02-01,1470.75,1,1474.1780438433561
Akole,bajri,Akole:bajri,2015-03-01,1538.0,1,1541.5847910461205
Akole,bajri,Akole:bajri,2015-04-01,1525.0,2,1519.622935681386
Akole,bajri,Akole:bajri,2015-05-01,1712.75,2,1706.710939730029
Akole,bajri,Akole:bajri,2015-06-01,1588.0,2,1582.4008012210106
Akole,bajri,Akole:bajri,2015-07-01,1488.0,3,1491.2899416865357
Akole,bajri,Akole:bajri,2015-08-01,1625.0,3,1628.592846263858
Akole,bajri,Akole:bajri,2015-09-01,1563.0,3,1566.4557653602524
Akole,bajri,Akole:bajri,2015-10-01,1558.0,4,1560.583037586276
Akole,bajri,Akole:bajri,2015-11-01,1569.0,4,1571.6012746937529
Akole,bajri,Akole:bajri,2015-12-01,1619.0,4,1621.6841706368298
Akole,bajri,Akole:bajri,2016-01-01,1575.0,1,1578.6710311428087
Akole,bajri,Akole:bajri,2016-02-01,1575.0,1,1578.6710311428087
Akole,bajri,Akole:bajri,2016-03-01,1600.0,1,1603.7293014784088
Akole,bajri,Akole:bajri,2016-04-01,1685.0,2,1679.0587846709086
Akole,bajri,Akole:bajri,2016-05-01,1683.0,2,1677.0658365585396
Akole,bajri,Akole:bajri,2016-06-01,1617.0,2,1611.2985488503616
Akole,bajri,Akole:bajri,2016-07-01,1712.75,3,1716.5368599621063
Akole,bajri,Akole:bajri,2016-08-01,1675.0,3,1678.703395379669
Akole,bajri,Akole:bajri,2016-09-01,1600.0,3,1603.5375717059526
Akole,bajri,Akole:bajri,2016-10-01,1594.0,4,1596.6427226652913
Akole,bajri,Akole:bajri,2016-11-01,1588.0,4,1590.6327751521221
Akole,paddy-unhusked,Akole:paddy-unhusked,2014-09-01,1681.0,3,1682.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2014-10-01,1669.0,4,1680.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2014-11-01,1625.0,4,1636.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2014-12-01,1625.0,4,1636.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-01-01,1600.0,1,1600.0
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-02-01,1542.5,1,1542.5
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-03-01,1613.0,1,1613.0
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-04-01,1625.0,2,1614.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-05-01,1681.0,2,1670.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-06-01,1692.0,2,1681.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-07-01,1595.0,3,1596.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-08-01,1625.0,3,1626.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-09-01,1700.0,3,1701.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-10-01,1675.0,4,1686.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-11-01,1638.0,4,1649.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2015-12-01,1607.0,4,1618.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-01-01,1625.0,1,1625.0
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-02-01,1669.0,1,1669.0
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-03-01,1619.0,1,1619.0
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-04-01,1704.0,2,1693.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-05-01,1675.0,2,1664.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-06-01,1669.0,2,1658.25
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-07-01,1663.0,3,1664.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-08-01,1700.0,3,1701.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-09-01,1645.0,3,1646.3333333333333
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-10-01,1650.0,4,1661.3125
Akole,paddy-unhusked,Akole:paddy-unhusked,2016-11-01,1613.0,4,1624.3125
Akole,wheat(husked),Akole:wheat(husked),2014-09-01,1706.0,3,1711.9166666666667
Akole,wheat(husked),Akole:wheat(husked),2014-10-01,1675.0,4,1675.625
Akole,wheat(husked),Akole:wheat(husked),2014-11-01,1663.0,4,1663.625
Akole,wheat(husked),Akole:wheat(husked),2014-12-01,1675.0,4,1675.625
Akole,wheat(husked),Akole:wheat(husked),2015-01-01,1670.0,1,1670.0
Akole,wheat(husked),Akole:wheat(husked),2015-02-01,1573.25,1,1573.25
Akole,wheat(husked),Akole:wheat(husked),2015-03-01,1688.0,1,1688.0
Akole,wheat(husked),Akole:wheat(husked),2015-04-01,1644.0,2,1636.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2015-05-01,1625.0,2,1617.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2015-06-01,1638.0,2,1630.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2015-07-01,1680.0,3,1685.9166666666667
Akole,wheat(husked),Akole:wheat(husked),2015-08-01,1681.0,3,1686.9166666666667
Akole,wheat(husked),Akole:wheat(husked),2015-09-01,1650.0,3,1655.9166666666667
Akole,wheat(husked),Akole:wheat(husked),2015-10-01,1675.0,4,1675.625
Akole,wheat(husked),Akole:wheat(husked),2015-11-01,1663.0,4,1663.625
Akole,wheat(husked),Akole:wheat(husked),2015-12-01,1663.0,4,1663.625
Akole,wheat(husked),Akole:wheat(husked),2016-01-01,1660.0,1,1660.0
Akole,wheat(husked),Akole:wheat(husked),2016-02-01,1638.0,1,1638.0
Akole,wheat(husked),Akole:wheat(husked),2016-03-01,1650.0,1,1650.0
Akole,wheat(husked),Akole:wheat(husked),2016-04-01,1725.0,2,1717.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2016-05-01,1725.0,2,1717.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2016-06-01,1788.0,2,1780.6666666666667
Akole,wheat(husked),Akole:wheat(husked),2016-07-01,1791.25,3,1797.1666666666667
Akole,wheat(husked),Akole:wheat(husked),2016-08-01,1791.25,3,1797.1666666666667
Akole,wheat(husked),Akole:wheat(husked),2016-09-01,1705.0,3,1710.9166666666667
Akole,wheat(husked),Akole:wheat(husked),2016-10-01,1731.0,4,1731.625
Akole,wheat(husked),Akole:wheat(husked),2016-11-01,1713.0,4,1713.625
Akole,gram,Akole:gram,2014-09-01,3067.0,3,3052.1320897751198
Akole,gram,Akole:gram,2014-10-01,3100.0,4,3087.050439035129
Akole,gram,Akole:gram,2014-11-01,3230.0,4,3216.5073929301507
Akole,gram,Akole:gram,2014-12-01,3235.0,4,3221.4865065414974
